Raca,Idade,PN,Brix,Isolamento,Sexo,Novilha,GMD_base,GMD,Peso
Holandês/Girolando,178,38.23192629193178,28.362639744352528,0,1,0,0.7337206259591041,0.7753149227447986,170.44365118366042
Nelore,153,25.136039776199183,32.842563509572955,1,1,1,0.689282184931697,0.5727379204472985,91.67944421541029
Nelore,106,30.129791124326367,23.511664448114434,2,0,0,0.5516762457261948,0.4973573867502234,75.65195998286148
Holandês/Girolando,8,34.24957252923818,15.229826036770366,0,1,0,0.7945130706413062,0.8436296096979228,35.061532351838856
Nelore,178,31.49191958046868,21.807708267020708,1,0,0,0.5653797680536202,0.49919097164054876,102.43516811189994
Cruzado ½ sangue,81,28.27408372828472,28.927500537157215,0,0,1,0.8146172260955262,0.7807439937532423,92.78575795069015
Guzerá,53,24.30111525325698,26.21230714810098,2,0,0,0.3990998246680749,0.35095897708165646,41.539505318558945
Cruzado ½ sangue,161,30.501586367139282,24.995654394700118,1,1,0,0.6390963521541861,0.5690011156074458,183.88611861955542
Cruzado ½ sangue,135,38.30058691549935,28.034673423819356,1,1,0,0.7140477765545614,0.7264629909602719,111.53281903045556
Guzerá,135,26.990869836849775,25.937813756993688,1,1,0,0.48191088308404567,0.5183870035758782,94.66408249460376
Cruzado ½ sangue,50,32.15306478982242,28.870900749804544,1,1,1,0.7667440896317936,0.625523821988735,47.436487926358986
Cruzado ½ sangue,179,34.9948777642789,27.677694706587943,0,1,1,0.5924756506538141,0.6396003480801643,141.24141131301826
Guzerá,82,19.678422958010934,30.086801810947836,2,0,0,0.6965902594047444,0.517274254527804,57.1018911718613
Nelore,96,28.849032436256824,25.435184335625017,0,1,0,0.7622197504272246,0.8010824534820267,118.90341004994275
Cruzado ½ sangue,136,40.990056711219054,27.62103760597582,3,1,0,0.671027919585003,0.5046094117846323,101.28644993030072
Nelore,119,29.463212772409353,22.771491707656857,1,1,0,0.6052601180354618,0.6771423344668661,106.72769434491558
Nelore,32,29.237696092092673,21.594156753763976,0,0,0,0.6691671435624638,0.6023525217724071,44.64597103966342
Nelore,55,30.918449328747688,30.827070561675892,1,0,0,0.43128026010326337,0.30480649967537515,31.176653541014016
Cruzado ½ sangue,66,36.582420973257385,24.86481870529075,1,1,0,0.49567999839644306,0.49771612843974533,61.01583322152538
Cruzado ½ sangue,171,25.010133228440562,27.219522263449516,1,0,1,0.7782060805243398,0.6730472387931453,132.1670718300557
Cruzado ½ sangue,129,26.270694072835894,24.49496005764556,3,0,0,0.6701387320160299,0.43930499418339636,84.27306787823308
Cruzado ½ sangue,66,33.84116516434459,21.653937396320142,1,0,0,0.6150844229422232,0.5943851376747845,80.28420281204727
Holandês/Girolando,133,36.425617190512455,24.043931570329605,1,0,0,0.6812791798313336,0.5217706450044899,101.52319898129946
Holandês/Girolando,133,46.56012631109957,29.743976071070858,1,0,0,0.4056052306781321,0.3119853257635953,83.4341916061139
Nelore,71,27.896889635401717,26.220960297117696,0,1,0,0.5309437685542999,0.5452748659867498,43.57719913043411
Nelore,73,22.22914242500409,17.154107361078164,0,1,0,0.47469532608067766,0.549462826275759,69.66567677026138
Cruzado ½ sangue,161,27.927944332624012,23.13902217369538,2,1,0,0.7409878796976591,0.7558602797835454,135.59431977661498
Holandês/Girolando,102,26.25161990184712,31.129175170818847,1,0,0,0.7944285395141608,0.8255903043745213,122.44861508085654
Holandês/Girolando,27,38.82937231358544,23.144812552600175,1,0,1,0.7463182269249398,0.6478650156273359,67.18831791306127
Cruzado ½ sangue,130,32.24646349094247,16.798085233063276,2,0,1,0.6835004513679056,0.392641385492429,79.88620422468318
Holandês/Girolando,107,37.87768645109051,31.572195541690174,1,0,0,0.5078051238971693,0.4992440247708429,74.4812886270661
Holandês/Girolando,92,45.39439519514869,26.729570039251172,0,0,0,0.7479239541996405,0.8412655739997416,122.53638842349791
Holandês/Girolando,131,45.99259918258347,23.719948564748798,2,1,0,0.7523807637351891,0.7648968658135751,152.5342518081794
Guzerá,164,25.488834729931668,22.514329055671727,2,1,0,0.6182933021080294,0.5844288719478777,114.91629097126373
Nelore,60,21.528572163831004,28.32940771916694,0,1,1,0.7618209812430198,0.7033297876358937,56.78779710366939
Guzerá,76,27.851844741476775,21.83206639909523,1,0,1,0.3392067360106972,0.21690701667134854,52.141112853895464
Nelore,35,30.943760799780016,28.593025698063954,3,0,0,0.5111523174381787,0.4846443961768385,52.582651501274455
Guzerá,117,26.928174710470834,26.168781142897025,7,0,0,0.4294846694700237,0.05,26.827820982019176
Angus/Simental,73,42.41665887188652,24.9787277019494,3,0,0,0.7398383266642835,0.5303221740635221,58.679747673666085
Nelore,62,24.923101662386358,24.58205922134238,3,1,0,0.5513401858218039,0.49896805596786864,61.56774035557347
Nelore,126,36.03064385164799,23.300127853143287,5,0,1,0.5265917926919855,0.21259844547683743,49.135209016468366
Nelore,74,25.642002864003462,28.18256048083706,0,1,0,0.6527604361401174,0.6364174785878286,75.6659788786314
Nelore,84,31.62228024520299,20.53862867159266,2,1,0,0.4398585788819217,0.4627923031167302,72.6976253399446
Cruzado ½ sangue,80,26.250609222346593,17.512299492679162,2,0,0,0.5254766385868134,0.44280016955070234,34.835073529655325
Holandês/Girolando,47,35.34867656364975,26.4577604915699,0,0,0,0.5622140938237252,0.5493514288007434,62.05123710913954
Cruzado ½ sangue,23,39.065474586901345,26.52495331226859,2,0,0,0.6003639653831414,0.4440581323570202,53.19882099908001
Cruzado ½ sangue,149,31.9564007079966,25.920964610047065,1,0,1,0.5048550762496969,0.5374824035725771,124.39639467997806
Guzerá,17,28.519767815398396,25.630913478472156,2,1,0,0.49538570856406927,0.43995278792321546,36.76769939961671
Cruzado ½ sangue,59,33.94782155487698,22.717838486649807,0,1,0,0.6217960785906047,0.7416362543851058,53.578439874580326
Nelore,121,28.632646453999396,27.1499308175421,2,1,0,0.47134848860009204,0.4713217871223097,107.9788473728881
Nelore,24,33.77347613726441,23.817767492981837,1,1,0,0.6373766254056197,0.5999995975205749,51.37222715114979
Nelore,118,28.17169411371835,22.051545756739287,1,0,0,0.5440499471713264,0.4648945448542329,62.26423535183719
Cruzado ½ sangue,132,25.877047569746118,22.752434750978402,1,0,0,0.7568912100434985,0.7908948192284829,115.89734774784041
Holandês/Girolando,120,35.98379954024148,32.082558795103324,2,0,0,0.6575692671114903,0.6611573217661566,119.34645863405876
Nelore,55,30.92917105045593,17.060095671818267,1,0,0,0.5475805111768646,0.3806401981019295,59.8730954947346
Holandês/Girolando,4,41.97754553181254,25.999152417183197,2,1,1,0.6152800234616033,0.5513381509033622,42.632557557671475
Nelore,160,23.51529612417597,17.28355828950513,5,0,0,0.5492953459464516,0.28294829145876804,85.37528105453057
Cruzado ½ sangue,59,30.102629922367196,23.567066646708106,3,0,1,0.7183454436745251,0.47053815366553015,35.98877122235508
Guzerá,145,24.25483595239326,22.26549005938325,2,0,0,0.4609232479343217,0.37638439503260984,58.88927895282559
Guzerá,36,24.903591217657326,15.659886813280488,2,0,0,0.5492491364407931,0.35958703392427704,21.168052535008727
Guzerá,30,21.872259234195347,25.556150361735053,3,1,0,0.4227890387006546,0.2919944235085969,22.823737206110856
Holandês/Girolando,141,36.85814445940261,22.479847751231215,2,0,0,0.7672908150350541,0.6227050510268488,153.10701561830876
Guzerá,170,23.814168544221417,15.603174629755024,1,0,0,0.44490894640536693,0.35360687785326644,126.54979159451426
Nelore,155,31.70036640916672,27.358272363097008,0,0,0,0.635167987322905,0.6418073524183151,135.8201704007953
Nelore,136,31.831924588465853,29.74002471195574,3,1,1,0.5560976542433665,0.36034912269850883,69.0119162150517
Angus/Simental,45,37.34385293860033,29.96049736918629,1,1,0,0.8949096793399722,0.9892658260588827,79.49889851513963
Angus/Simental,165,36.23582091858171,25.435825762605884,0,1,0,0.5872822114807659,0.6609910585226094,154.9581958070006
Cruzado ½ sangue,121,33.55969724815645,24.184232554308462,0,0,1,0.4776205549356945,0.5423520589197094,71.87209560713293
Nelore,31,26.141987123905487,29.312626483583188,1,0,0,0.48837827540244333,0.443872463124897,34.838355650324374
Angus/Simental,24,32.83925563024651,30.72953434136039,0,1,1,0.5607697409760539,0.543625474330567,57.0532412458334
Cruzado ½ sangue,157,29.239115164297132,28.5342748115025,0,0,1,0.4878991616128895,0.5592688781822226,96.22956606296644
Cruzado ½ sangue,50,30.460747344114175,20.233849591080794,4,0,1,0.7083705836505864,0.4298653804107186,43.540227479747685
Guzerá,138,22.509578600623186,24.805379412859686,0,1,1,0.4996030146257975,0.49174388089862026,90.61644947365504
Nelore,25,29.56720845672006,25.758064577165715,1,0,0,0.5020319023295742,0.5006200027143162,44.33168571862519
Nelore,51,31.55400485824298,16.761532124331083,1,0,0,0.5113037402694568,0.3802261217736151,43.855014060122485
Angus/Simental,52,30.85805764640791,25.877442638483096,1,1,1,0.651317668602471,0.6463452639597516,65.34967275536722
Holandês/Girolando,51,40.12564355608016,33.091967303917556,4,0,0,0.86979245429919,0.7252508838493916,84.01036878511374
Nelore,122,28.230224716567825,26.559744663203166,0,0,0,0.4764494292356964,0.5579720578338272,130.71941183424843
Guzerá,165,27.02452605661041,29.893652325767025,2,0,0,0.3743972796820866,0.3409532999605118,80.70571070338376
Holandês/Girolando,164,39.93530615948206,24.73165892051482,2,1,0,0.7715458210109277,0.7898607471087906,168.63232397449875
Nelore,134,23.91240252023929,23.707126704064713,2,0,0,0.528424437665218,0.4255401542620611,109.02340448167404
Angus/Simental,37,32.31924815514276,25.5250855603239,1,0,0,0.9544589742140568,0.8623018709320454,58.91783702416586
Cruzado ½ sangue,173,33.11769430233989,20.73669340806227,2,1,1,0.5821173797326451,0.5966457028493717,108.6656158358464
Cruzado ½ sangue,98,37.11512367898204,20.144899251062444,2,1,1,0.7330582597732471,0.5389643503359125,93.86909180056404
Guzerá,99,19.35743788687099,29.065218228677463,4,1,0,0.602808746406934,0.3742699517815143,73.42041952013182
Holandês/Girolando,127,41.7286328990079,29.489369371466072,2,0,0,0.6200463792967696,0.567260387944007,120.23432665365358
Holandês/Girolando,139,45.948110026438215,20.0355747376506,1,0,0,0.594564111690461,0.6333255191231686,132.16333769613976
Holandês/Girolando,172,39.234870618968934,27.871995218215456,1,1,0,0.765257151057054,0.7765132446641769,142.61918794688881
Nelore,105,30.925708736092542,23.652160097575916,2,1,0,0.6074891917913932,0.6064944430450491,93.65748201982132
Guzerá,110,23.890792757306592,25.359234297961724,3,0,0,0.365992040432462,0.1088686272171752,56.41220241215329
Nelore,135,28.582218302530933,25.840874557740253,1,1,0,0.43715643636952795,0.4050438168977657,60.48418882548354
Holandês/Girolando,46,31.895432408459243,27.977401872497275,2,0,0,0.3883105494309794,0.19337415504067285,38.15366281714896
Guzerá,56,18.96697007474338,24.330872807452756,1,1,0,0.5565617511279862,0.5944386438803928,47.64916261548992
Nelore,113,32.299680304288465,29.640647981207742,1,1,0,0.5238172806864255,0.43954349843313917,70.18603797669277
Nelore,12,25.552517752964455,25.2376513590397,1,0,0,0.5337849579024718,0.4173726450041278,31.925314385606942
Holandês/Girolando,58,37.722360774982846,26.49673708987813,0,1,0,0.4854839287642869,0.562497733969606,75.71046915781272
Nelore,130,24.147452113554323,20.666949633851015,0,1,0,0.4401897646910674,0.5367908135686829,101.76990074119207
Angus/Simental,176,31.65513633612256,32.63463604281934,0,0,0,0.6650347250547298,0.6772363531594899,130.2625111827884
Holandês/Girolando,94,39.13081149952692,25.879299692819867,2,0,0,0.6026825559830007,0.5429641647479002,64.81816782462337
Guzerá,72,23.811268417593062,26.851989701380397,1,1,0,0.511194427174175,0.5402741923597237,66.24789815410794
Holandês/Girolando,80,41.88985498997349,17.567256755153835,3,0,1,0.7470988345626587,0.5339452603105677,77.41700733792815
Nelore,124,30.58388446642857,20.709191907683596,2,0,0,0.7769612569285198,0.6119369301065096,138.9833128501278
Angus/Simental,99,39.44382340846073,28.95153475167492,3,0,0,0.7176980415464436,0.613822883218723,129.99925879456086
Holandês/Girolando,5,41.193003954642215,25.14756447317042,0,1,0,0.8082713062561488,0.888237810983997,52.70548785169098
Cruzado ½ sangue,98,39.31107281972754,16.344881060684294,2,0,1,0.5487029945322248,0.44638848836193634,68.27278634811958
Nelore,73,25.263421808342898,28.153159715935274,2,1,1,0.3825053685024644,0.3093121591323261,55.57118369855997
Holandês/Girolando,127,39.72532566898541,21.824868782589107,1,0,0,0.6394853106283357,0.5224830553809667,121.67284842859799
Holandês/Girolando,158,45.663449102597944,29.64526794350685,0,0,0,0.4962620024444623,0.5509299888070898,147.8533556170996
Angus/Simental,174,43.690429142021166,23.6486572855852,0,1,0,0.7216874142244468,0.763605951083791,169.1315016636345
Holandês/Girolando,110,32.89118175327714,24.81882674408212,3,0,0,0.5902477756815036,0.41834977230035636,100.22209952906903
Holandês/Girolando,66,38.43822279172065,28.715818314366594,4,0,0,0.4552587905232227,0.2518842079332657,55.06871055753692
Nelore,80,33.753423835535415,20.41002811658135,2,0,0,0.7236025145860178,0.5810498537464902,82.05763783400728
Guzerá,32,27.524237315597198,20.028612768664242,1,1,1,0.44893163725498886,0.4423890883347224,27.86111443665436
Holandês/Girolando,169,40.976315157398865,23.21400631840757,1,0,1,0.4916737801614173,0.32121160877716626,108.57650532767084
Guzerá,153,25.34694591969603,27.308691198484887,2,0,0,0.5853263200981925,0.4392746205190124,87.43894910409712
Nelore,154,27.65669676002289,18.67649098954604,0,0,1,0.4771385637460715,0.4097381271811699,99.91893363806264
Cruzado ½ sangue,60,34.152876252361295,17.32786160044361,3,0,0,0.7599182637059728,0.6926233817739915,78.60338228484373
Angus/Simental,58,36.864316437569826,27.29488370817517,3,0,0,0.6356596515120243,0.5563862651274548,71.32374480543591
Nelore,155,28.850974826344444,21.588086749731985,3,1,1,0.49591023097372033,0.24819178100511588,66.41659069022633
Holandês/Girolando,99,40.39299353057519,22.431095948318866,0,0,0,0.7196556465898604,0.7975995527491844,131.78851566549744
Nelore,127,26.626749650272753,16.572758392239336,1,0,0,0.609321938070411,0.6254392591023475,102.49687395253434
Cruzado ½ sangue,89,35.128517495525756,21.284082742592073,1,1,0,0.7245332111074658,0.644835180356542,70.710274363636
Nelore,80,39.19985626945397,23.969730813475397,1,1,0,0.5410258861270671,0.38983973288639207,78.47117308418092
Cruzado ½ sangue,114,25.892053442695698,27.721511430491567,0,0,0,0.6981478393710042,0.7054712940590933,92.59388043342105
Cruzado ½ sangue,147,34.29605009675992,20.915079335061446,0,0,0,0.7220191467615763,0.7838731216068493,124.01936777890245
Cruzado ½ sangue,61,29.959239645524377,30.629504480929988,0,0,0,0.6620626052423535,0.77008822886163,64.25140064907491
Nelore,146,31.020909021317376,21.261775903280796,1,1,0,0.5357341886735705,0.4732851886077497,105.55909486324268
Angus/Simental,44,38.209508629975375,21.267632793659303,1,0,0,0.55379108095342,0.6022603707924183,63.691900154911046
Nelore,73,31.666491709148623,30.14943020759121,0,0,0,0.609917415677999,0.4991335674683658,39.156606339148254
Nelore,165,33.11427301778073,24.845840609455667,2,0,0,0.5542173699141151,0.43891520544710005,97.70649890797638
Holandês/Girolando,172,40.962105588840906,21.791901083953693,3,0,0,0.6324341769796686,0.4582200120231412,144.13581853996257
Guzerá,167,29.396156865242535,23.379467475277625,3,0,0,0.6213878045412077,0.5398767906598372,110.29091512756565
Cruzado ½ sangue,57,23.62280842484529,29.412294310168235,1,0,1,0.4829383003795353,0.479818903578996,48.98783446756006
Cruzado ½ sangue,152,39.36180919166409,29.864811278502728,0,1,0,0.8208439946901375,0.9297031533470909,201.1040789758017
Guzerá,169,27.12518645567702,20.732827282918976,1,1,1,0.49788403852972574,0.365013442511717,105.24058425584526
Angus/Simental,177,42.850295100853316,23.830264759683566,1,1,0,0.7565145905278333,0.7980794690113608,205.70480854403584
Nelore,4,24.730434893054674,24.360627310670292,1,1,0,0.510495588546973,0.5329529271599264,21.020869659096473
Holandês/Girolando,135,35.84615059197332,20.05503955793361,1,0,1,0.4882866150598171,0.2970684010788894,107.94720750306877
Nelore,180,29.51078402950671,23.777259789400023,1,1,0,0.536039010153422,0.4103897205222584,116.94459933099783
Angus/Simental,138,37.92332949798141,24.021291441806802,1,1,0,0.7584956642926711,0.810445829393354,195.7000501411655
Nelore,42,29.990740058034962,28.560837915746944,0,1,0,0.6176225446402595,0.6591712395532778,49.62172525427111
Nelore,138,32.79580306325488,28.829700113244805,0,1,0,0.5301966801561099,0.5092484604153412,70.16320344858735
Guzerá,19,20.704339054091452,22.68316240656397,0,0,1,0.2917087150855803,0.2392007780900304,25.299137895750164
Angus/Simental,87,42.38218582272789,23.144187424556755,0,0,0,0.5427089453729981,0.5657624595618145,87.52323687070859
Angus/Simental,113,38.03726859481067,26.65716920822254,2,0,1,0.9559822567327788,0.8185707131568891,141.57410845305398
Cruzado ½ sangue,83,32.18487255550181,21.659246204291954,2,0,0,0.5198210417850673,0.3306132375888696,75.18288099676849
Angus/Simental,126,31.379981445267994,26.35456060694961,1,0,1,0.8841106876975089,0.9083731974348099,144.2783910061106
Angus/Simental,44,40.26371900769589,23.64837405052314,0,0,1,0.6125800251969765,0.631158017463383,65.49821597473611
Holandês/Girolando,110,27.929460744844814,20.122405689045518,4,0,0,0.6590175703812953,0.4361322344306884,84.61315438323771
Guzerá,117,27.945182033716137,20.172653148481412,0,1,0,0.5593947846619909,0.577607700423592,91.12074396740687
Cruzado ½ sangue,115,27.031576658108033,29.78823478412441,1,1,0,0.5497786108761039,0.574560474558828,87.31420762038537
Cruzado ½ sangue,53,33.2138316504699,23.374314083426807,0,1,0,0.815143664933496,0.7921579561515381,87.19274211845614
Guzerá,55,25.64249348801624,30.561416375593243,0,0,0,0.507194194016499,0.5427226999566557,70.3340110211101
Nelore,47,33.09338351552859,21.94545495714036,1,1,1,0.596085084629967,0.4667701533936345,66.83682670115283
Cruzado ½ sangue,84,32.28537932394444,25.164820804525974,0,1,1,0.6105632291178962,0.6095695532581394,81.03986135310927
Nelore,106,26.57051503599017,33.57070689207296,2,1,0,0.6158720287017091,0.5110573663399112,45.74532051998925
Angus/Simental,66,35.72028786812959,19.77045302134688,1,1,0,0.9015611650827342,0.8220258357194997,88.06128640709187
Nelore,74,33.45508969064132,16.408742000400892,0,0,0,0.5368714062376786,0.6195619753358614,68.94448361613776
Nelore,52,30.877039392133128,29.146360525148932,1,0,0,0.7229712790749236,0.6906422835419627,65.30438010733141
Cruzado ½ sangue,40,31.457480073907355,20.692763578427705,0,1,0,0.5727244610782971,0.6206405886611908,49.54059214243764
Nelore,119,28.172437530124203,23.917174543575065,1,1,0,0.6264096039351711,0.5042135414085883,87.81443945149145
Nelore,147,23.514880182950936,21.656327158193662,0,0,0,0.598911433624305,0.5641707204915325,86.43094036704342
Holandês/Girolando,53,41.94237100425771,25.072651123821263,1,0,0,0.5571130616415275,0.5395662022264517,55.727792142467436
Angus/Simental,155,30.080829315370405,20.197855171257032,2,0,0,0.7445881160332931,0.6520574848787496,155.33178806908776
Nelore,103,31.631287630424097,23.280239648466775,1,0,0,0.5507365937850374,0.38042981522879404,55.182376822095385
Guzerá,31,26.3858647774738,25.799261306226136,1,1,0,0.41894674325369974,0.42706054695686646,39.62767491370541
Cruzado ½ sangue,66,42.547807198295686,19.96676445490295,0,1,0,0.679380267761354,0.7349225485313302,103.371399099793
Angus/Simental,2,33.04939000824062,21.199663881416445,3,0,1,0.7368232978024795,0.616449242435297,36.33636223679451
Holandês/Girolando,8,39.48668954479683,22.61046866560587,2,0,1,0.6716525010596701,0.4934986304630007,47.00608722834432
Nelore,61,35.29400695323072,18.284738263094887,2,0,0,0.5431422530941316,0.30782267588924184,57.82892847785207
Nelore,82,33.16986374101995,22.309756068805015,2,0,0,0.5409989741076381,0.3847620361773553,75.1353160881628
Nelore,144,26.56325781947035,24.475186159611606,1,1,0,0.5132300378753673,0.44430310895385955,116.71810578631154
Nelore,25,29.783885999307067,22.401804233646285,3,1,0,0.5639834095014982,0.4955093700976162,45.547542032277335
Cruzado ½ sangue,152,33.00799742566035,22.9144940282731,1,1,0,0.5691694366399842,0.40473400794776343,58.54524848848926
Nelore,43,29.98684553587955,23.92039331637366,2,0,0,0.8156809491470001,0.6939471925474443,54.32082010058684
Holandês/Girolando,25,36.506597820075854,21.377026150270744,1,1,0,0.5179266767714887,0.5867090274833373,56.705537437074106
Cruzado ½ sangue,126,32.642718389197064,26.76425026346751,3,1,0,0.5756790315042095,0.47431893558830585,81.22464362876923
Holandês/Girolando,140,32.00973812361643,29.743912499207102,2,0,0,0.6218396579736518,0.5884539754094256,144.84543619258295
Nelore,109,29.472932081538286,22.142478431218205,3,1,0,0.7540493414324538,0.5493850566773513,88.30804620128156
Cruzado ½ sangue,21,34.80008269368733,25.940792925910827,3,1,0,0.4947851885024751,0.2999882536644081,41.72043081667427
Cruzado ½ sangue,21,32.09032234942446,23.04153137826141,1,1,0,0.6868514527784721,0.7596157573520769,56.230176499834485
Cruzado ½ sangue,71,26.539796437660847,25.461949380154017,1,0,0,0.6673233471551194,0.6300206360142631,68.82369651237222
Nelore,82,32.459861519980116,30.26311812481302,2,0,0,0.5833602304674549,0.5057773033087484,76.46938883709069
Nelore,180,30.27583763297481,26.034638172072395,2,0,0,0.673634316261094,0.5179234301913583,142.66516306969473
Angus/Simental,52,34.732932060345604,16.90634184476128,0,0,1,0.8598203763709151,0.8133817152345963,60.16326382049115
Guzerá,35,25.15819865948581,25.815982525787835,0,0,1,0.45715910148058886,0.35742604451756677,34.986822923380046
Guzerá,171,21.497991791654485,28.931454973236036,2,1,0,0.5184316577019291,0.5386944277145727,130.83910472342643
Holandês/Girolando,28,34.87294936111048,23.11361532000759,0,0,1,0.4656282663025035,0.5814527295744022,51.705060615422276
Cruzado ½ sangue,5,30.84875461457144,27.98253922447133,1,0,0,0.6509002309374122,0.6404696209130486,39.26334123376304
Angus/Simental,77,43.527893655260684,21.239537835392216,1,1,0,0.6286912157993293,0.5796525378939733,66.19312445453112
Nelore,73,26.761738131893836,18.057843361910905,1,1,0,0.5313617574039484,0.3676559299320673,30.662441742600667
Angus/Simental,112,40.880961466979414,24.56467607533056,3,0,0,0.52618223554608,0.2852286622635969,85.76654087129475
Nelore,158,27.11589328998447,16.974093117014743,0,1,0,0.5904872286719076,0.7078257420430113,156.2409713362378
Holandês/Girolando,168,41.23973780425938,23.04091594842563,0,0,1,0.48489460000880513,0.3862706617561498,102.15411210545832
Holandês/Girolando,53,39.293022489280986,29.14736905058201,2,0,0,0.6970527297810325,0.5901948057521548,75.20393670023596
Nelore,177,32.055698100324605,16.36094837701488,0,1,0,0.4273494406977451,0.49215155600692123,134.91628203698133
Nelore,114,27.128160316235046,18.882012816344407,1,0,0,0.4650358964864116,0.493350693508543,69.56584556921517
Guzerá,13,21.282415249992678,19.87187101935369,3,0,0,0.6096995497417904,0.44405872436938015,23.006546756667813
Angus/Simental,169,31.781229358863655,23.74672056115616,2,0,0,0.7876105637800666,0.6680215442386506,148.59501950968615
Holandês/Girolando,25,37.340612530286215,22.537132857415163,1,1,0,0.8121583608321125,0.806017936457927,64.67217002713757
Angus/Simental,106,32.37923013194876,29.59654552678435,4,0,0,0.8993686202376483,0.6787608432201558,85.25809467504234
Cruzado ½ sangue,143,34.640848062718206,27.81739331636679,4,1,1,0.5549877422146259,0.3305915093818109,78.15508032298492
Holandês/Girolando,45,37.67115917570961,25.98109178427439,2,0,0,0.8523817411807003,0.783837833748999,70.34114191523196
Cruzado ½ sangue,49,42.498426200105726,24.58252125737554,4,1,0,0.47879437782032086,0.33322856867001405,63.474369908267235
Nelore,86,22.917998917020036,25.57291910793931,1,0,1,0.6246100334544904,0.6613440206578045,79.66544093536899
Nelore,160,29.712716125484306,20.552070578746502,2,0,0,0.5006662285400029,0.42280259078263416,86.39204622611287
