raca,sexo,turno_parto,historico_parto,tipo_parto,peso_mae_kg,peso_nascimento_kg,peso_360_dias_kg
Nelore,M,Tarde,Primípara,Normal,422.9,31.8,284.7
Nelore,F,Tarde,Multípara,Normal,443.9,28.3,248.6
Nelore,F,Manhã,Multípara,Normal,460.3,36.1,288.0
Nelore,M,Manhã,Multípara,Normal,410.4,27.9,264.3
Nelore,F,Manhã,Multípara,Normal,433.4,31.9,267.9
Nelore,M,Noite,Multípara,Normal,454.5,27.8,262.4
Nelore,F,Noite,Multípara,Normal,451.9,29.0,248.6
Nelore,M,Manhã,Multípara,Normal,501.2,31.9,272.9
Nelore,F,Noite,Multípara,Normal,511.7,33.2,278.1
Nelore,F,Tarde,Primípara,Normal,415.8,25.3,231.6
Nelore,M,Manhã,Multípara,Normal,454.5,34.0,289.9
Nelore,M,Manhã,Multípara,Normal,477.0,32.1,280.4
Nelore,M,Tarde,Multípara,Normal,510.7,32.8,298.2
Nelore,M,Tarde,Multípara,Normal,478.7,34.9,296.3
Nelore,M,Tarde,Multípara,Normal,461.6,28.2,260.2
Nelore,M,Manhã,Primípara,Normal,476.7,32.9,275.1
Nelore,M,Manhã,Multípara,Distocia,477.0,30.3,269.4
Nelore,M,Tarde,Multípara,Normal,412.9,35.3,290.6
Nelore,F,Manhã,Multípara,Normal,457.7,31.0,276.0
Nelore,F,Manhã,Multípara,Normal,508.4,29.4,260.8
Nelore,M,Manhã,Primípara,Normal,441.7,28.7,282.7
Nelore,F,Noite,Multípara,Normal,455.2,32.5,237.6
Nelore,F,Noite,Primípara,Normal,440.3,32.3,278.4
Nelore,F,Tarde,Multípara,Distocia,357.4,28.4,229.4
Nelore,F,Noite,Multípara,Normal,450.8,26.6,241.0
Nelore,M,Manhã,Primípara,Normal,462.1,32.6,281.3
Nelore,F,Tarde,Multípara,Normal,429.5,25.7,222.8
Nelore,M,Manhã,Primípara,Normal,403.8,26.6,249.7
Nelore,F,Tarde,Primípara,Normal,414.8,25.3,255.9
Nelore,F,Noite,Multípara,Normal,480.6,28.8,239.6
Nelore,F,Tarde,Multípara,Normal,528.9,26.0,239.7
Nelore,M,Manhã,Multípara,Normal,505.3,26.2,265.3
Nelore,F,Tarde,Multípara,Normal,396.2,26.6,219.0
Nelore,M,Manhã,Multípara,Normal,484.2,33.9,290.1
Nelore,F,Noite,Multípara,Distocia,423.5,26.2,239.6
Nelore,M,Tarde,Primípara,Normal,426.7,29.5,262.9
Nelore,F,Tarde,Primípara,Normal,431.5,34.3,241.6
Nelore,M,Tarde,Multípara,Normal,478.2,31.9,287.4
Nelore,M,Tarde,Multípara,Normal,488.4,33.0,287.7
Nelore,F,Manhã,Multípara,Normal,446.1,27.2,254.3
Nelore,M,Tarde,Multípara,Normal,446.8,38.5,290.3
Nelore,F,Manhã,Multípara,Distocia,468.6,28.4,235.6
Nelore,F,Tarde,Primípara,Normal,472.7,27.8,246.2
Nelore,F,Noite,Primípara,Normal,497.0,32.5,264.3
Nelore,F,Noite,Multípara,Normal,398.6,29.5,236.2
Nelore,F,Tarde,Multípara,Normal,450.8,30.1,243.8
Nelore,F,Tarde,Multípara,Normal,407.3,29.2,219.3
Nelore,F,Manhã,Primípara,Normal,448.0,27.7,237.1
Nelore,F,Tarde,Multípara,Normal,441.0,31.1,260.0
Nelore,F,Manhã,Primípara,Normal,448.1,30.2,260.3
Nelore,F,Tarde,Primípara,Normal,418.0,26.6,231.0
Nelore,F,Manhã,Multípara,Normal,390.5,27.7,250.9
Nelore,M,Manhã,Primípara,Normal,366.2,28.7,258.8
Nelore,M,Tarde,Multípara,Normal,444.8,27.8,252.6
Nelore,F,Manhã,Primípara,Normal,432.8,23.7,211.9
Nelore,F,Tarde,Multípara,Normal,423.0,30.9,262.8
Nelore,F,Manhã,Multípara,Normal,502.9,32.8,260.5
Nelore,F,Manhã,Multípara,Normal,415.6,32.6,236.8
Nelore,F,Tarde,Multípara,Normal,506.7,22.9,213.5
Nelore,F,Manhã,Primípara,Normal,515.0,27.8,249.4
Nelore,F,Manhã,Multípara,Normal,372.0,26.7,234.9
Nelore,F,Tarde,Multípara,Normal,453.7,30.4,243.3
Nelore,M,Manhã,Primípara,Normal,434.0,29.2,258.1
Nelore,F,Noite,Multípara,Normal,333.5,31.8,230.4
Nelore,M,Manhã,Primípara,Normal,392.2,30.4,282.4
Nelore,F,Manhã,Multípara,Normal,481.0,24.3,223.7
Nelore,F,Tarde,Multípara,Normal,530.8,27.1,247.2
Nelore,M,Manhã,Primípara,Distocia,486.1,30.5,286.2
Nelore,F,Manhã,Multípara,Normal,462.9,30.3,258.5
Nelore,M,Manhã,Multípara,Normal,449.1,27.8,271.5
Nelore,F,Manhã,Multípara,Normal,517.3,25.4,240.8
Nelore,F,Noite,Multípara,Normal,535.9,30.2,263.7
Nelore,M,Manhã,Multípara,Normal,426.5,27.8,259.5
Nelore,F,Tarde,Multípara,Normal,370.0,25.0,215.2
Nelore,M,Noite,Multípara,Normal,366.1,30.7,251.1
Nelore,F,Tarde,Primípara,Distocia,502.9,27.0,249.9
Nelore,M,Noite,Multípara,Normal,448.1,29.4,272.4
Nelore,M,Manhã,Multípara,Normal,457.3,29.9,279.6
Nelore,F,Noite,Multípara,Normal,378.4,30.0,241.2
Nelore,F,Manhã,Multípara,Normal,419.9,27.8,245.4
Nelore,M,Tarde,Multípara,Distocia,438.2,32.2,265.7
Nelore,F,Tarde,Multípara,Normal,458.3,28.9,242.6
Nelore,F,Manhã,Multípara,Normal,434.1,30.5,239.1
Nelore,F,Tarde,Multípara,Normal,408.5,32.6,233.4
Nelore,M,Tarde,Multípara,Normal,418.6,34.5,268.1
Nelore,M,Manhã,Multípara,Normal,498.3,35.9,292.5
Nelore,M,Manhã,Multípara,Normal,459.8,34.5,268.5
Nelore,M,Tarde,Multípara,Normal,474.5,32.7,268.9
Nelore,M,Tarde,Primípara,Normal,414.0,29.2,280.1
Nelore,M,Noite,Multípara,Normal,331.8,30.8,262.1
Nelore,M,Tarde,Multípara,Normal,429.1,29.4,264.9
Nelore,M,Noite,Primípara,Normal,415.3,30.5,298.3
Nelore,M,Tarde,Primípara,Normal,464.0,32.6,263.8
Nelore,F,Manhã,Multípara,Normal,581.4,27.8,276.0
Nelore,M,Manhã,Multípara,Normal,477.8,31.9,282.6
Nelore,F,Tarde,Multípara,Normal,559.4,28.0,270.8
Nelore,F,Tarde,Primípara,Distocia,472.8,29.1,242.5
Nelore,F,Manhã,Primípara,Normal,424.8,26.9,215.9
Nelore,M,Manhã,Multípara,Normal,463.9,29.8,277.7
Nelore,M,Noite,Multípara,Normal,521.2,30.0,289.6
Nelore,M,Tarde,Primípara,Normal,523.2,32.0,264.7
Nelore,M,Tarde,Multípara,Normal,427.0,31.7,299.2
Nelore,F,Tarde,Multípara,Distocia,460.1,28.7,242.0
Nelore,M,Manhã,Primípara,Normal,392.8,31.3,277.7
Nelore,M,Manhã,Primípara,Normal,483.0,29.3,264.1
Nelore,M,Manhã,Primípara,Normal,512.1,33.9,302.3
Nelore,M,Manhã,Multípara,Normal,451.6,29.1,286.0
Nelore,M,Tarde,Multípara,Normal,423.3,31.4,277.6
Nelore,F,Tarde,Multípara,Normal,464.4,25.8,241.5
Nelore,M,Noite,Multípara,Normal,466.7,31.0,269.2
Nelore,F,Noite,Multípara,Normal,453.2,25.0,235.3
Nelore,M,Manhã,Multípara,Normal,457.1,34.2,280.5
Nelore,F,Tarde,Multípara,Normal,443.0,32.3,261.6
Nelore,M,Tarde,Primípara,Normal,489.8,32.9,277.9
Nelore,M,Noite,Multípara,Normal,479.4,32.1,291.4
Nelore,F,Manhã,Multípara,Normal,410.7,27.4,227.4
Nelore,F,Tarde,Multípara,Normal,409.6,27.6,234.8
Nelore,F,Tarde,Multípara,Normal,439.8,34.6,267.3
Nelore,M,Manhã,Primípara,Normal,479.5,34.8,283.0
Nelore,F,Manhã,Multípara,Normal,455.9,30.4,259.6
Nelore,M,Tarde,Multípara,Normal,424.3,30.5,278.9
Nelore,M,Tarde,Multípara,Normal,460.5,36.1,288.6
Nelore,F,Manhã,Multípara,Normal,436.8,27.9,256.7
Nelore,F,Tarde,Multípara,Normal,485.2,30.7,257.9
Nelore,M,Manhã,Multípara,Normal,463.3,36.1,305.4
Nelore,M,Tarde,Multípara,Normal,437.4,29.5,293.4
Nelore,F,Manhã,Multípara,Normal,459.3,32.5,254.7
Nelore,F,Noite,Multípara,Normal,502.6,31.6,269.5
Nelore,F,Manhã,Multípara,Normal,427.2,29.9,238.6
Nelore,M,Manhã,Multípara,Normal,466.1,29.0,262.6
Nelore,M,Manhã,Multípara,Normal,447.2,29.8,271.8
Nelore,M,Manhã,Primípara,Normal,467.1,31.4,264.6
Nelore,M,Tarde,Primípara,Normal,423.8,26.2,250.4
Nelore,M,Manhã,Multípara,Normal,454.4,32.4,288.7
Nelore,M,Noite,Multípara,Normal,494.3,33.6,284.5
Nelore,F,Manhã,Multípara,Normal,412.5,33.0,260.3
Nelore,M,Manhã,Multípara,Normal,396.8,27.8,265.1
Nelore,M,Manhã,Primípara,Normal,398.3,34.4,300.6
Nelore,M,Manhã,Multípara,Distocia,403.2,37.1,282.0
Nelore,F,Manhã,Multípara,Normal,473.8,31.2,270.0
Nelore,M,Tarde,Multípara,Normal,393.8,28.9,268.6
Nelore,M,Tarde,Multípara,Normal,438.1,31.0,279.5
Nelore,F,Tarde,Multípara,Normal,474.7,29.9,267.3
Nelore,M,Tarde,Primípara,Normal,466.7,31.3,288.8
Nelore,M,Tarde,Multípara,Normal,434.6,32.1,280.4
Nelore,M,Manhã,Primípara,Normal,457.6,31.3,282.0
Nelore,M,Tarde,Multípara,Normal,454.3,31.7,286.4
Nelore,M,Noite,Multípara,Normal,441.0,32.8,272.6
Nelore,F,Tarde,Multípara,Normal,441.6,28.6,236.7
Nelore,F,Tarde,Multípara,Normal,539.4,29.0,278.0
Nelore,F,Manhã,Multípara,Normal,482.4,28.3,272.9
Nelore,M,Tarde,Multípara,Distocia,549.2,37.8,288.1
Nelore,M,Tarde,Primípara,Normal,430.1,34.9,276.2
Nelore,M,Tarde,Multípara,Normal,446.6,33.7,297.4
Nelore,F,Noite,Multípara,Normal,396.7,34.0,258.3
Nelore,M,Manhã,Multípara,Normal,417.6,34.4,289.2
Nelore,M,Manhã,Multípara,Normal,526.1,32.5,303.5
Nelore,F,Tarde,Primípara,Normal,429.1,24.0,228.9
Nelore,M,Noite,Primípara,Normal,526.8,29.7,289.8
Nelore,F,Manhã,Multípara,Normal,400.3,29.0,243.1
Nelore,F,Manhã,Multípara,Normal,407.9,26.6,224.9
Nelore,F,Manhã,Multípara,Normal,436.4,25.5,240.6
Nelore,M,Manhã,Multípara,Normal,447.5,33.5,298.2
Nelore,M,Tarde,Primípara,Normal,486.9,31.5,280.2
Nelore,M,Tarde,Multípara,Normal,468.0,28.5,275.8
Nelore,M,Manhã,Primípara,Normal,433.3,28.3,270.6
Nelore,M,Manhã,Multípara,Normal,444.7,35.5,284.5
Nelore,M,Manhã,Primípara,Normal,437.2,27.9,275.9
Nelore,M,Manhã,Multípara,Normal,413.4,32.5,267.6
Nelore,F,Tarde,Primípara,Normal,414.5,27.9,255.5
Nelore,M,Noite,Multípara,Normal,491.1,33.5,297.5
Nelore,F,Noite,Multípara,Normal,376.9,27.4,221.4
Nelore,M,Manhã,Multípara,Normal,514.7,32.3,310.8
Nelore,M,Noite,Multípara,Normal,436.3,32.5,281.2
Nelore,M,Tarde,Multípara,Normal,419.1,32.7,268.4
Nelore,F,Tarde,Primípara,Distocia,479.6,28.7,254.5
Nelore,F,Tarde,Multípara,Distocia,509.4,31.0,257.4
Nelore,F,Manhã,Multípara,Normal,494.7,36.6,251.9
Nelore,F,Manhã,Primípara,Distocia,470.1,36.2,252.2
Nelore,M,Manhã,Primípara,Normal,493.5,28.6,281.3
Nelore,F,Manhã,Multípara,Normal,381.3,23.0,196.4
Nelore,M,Manhã,Multípara,Normal,429.1,33.8,282.4
Nelore,M,Tarde,Multípara,Normal,413.6,32.6,277.8
Nelore,F,Tarde,Multípara,Normal,499.0,33.2,251.1
Nelore,F,Tarde,Primípara,Normal,434.7,29.4,249.3
Nelore,F,Manhã,Primípara,Normal,483.8,28.7,251.9
Nelore,F,Noite,Multípara,Normal,471.4,33.4,247.4
Nelore,F,Noite,Primípara,Normal,415.5,32.3,261.6
Nelore,F,Tarde,Multípara,Normal,426.5,25.8,246.1
Nelore,F,Noite,Multípara,Normal,501.8,27.6,248.2
Nelore,F,Tarde,Primípara,Normal,419.0,28.2,238.4
Nelore,M,Noite,Multípara,Distocia,455.0,32.3,280.2
Nelore,F,Manhã,Primípara,Normal,418.7,27.8,237.5
Nelore,F,Manhã,Multípara,Normal,437.4,31.3,228.2
Nelore,M,Manhã,Primípara,Normal,448.2,33.5,289.3
Nelore,F,Manhã,Multípara,Normal,418.7,35.2,248.5
Nelore,M,Manhã,Multípara,Normal,411.6,33.7,273.9
Nelore,M,Tarde,Multípara,Normal,461.5,29.4,292.8
Nelore,F,Tarde,Multípara,Normal,416.2,29.6,242.2
Nelore,M,Tarde,Primípara,Normal,417.6,30.3,270.8
Nelore,M,Manhã,Multípara,Normal,412.4,33.5,284.3
Nelore,M,Noite,Multípara,Normal,446.9,33.2,288.5
Nelore,M,Tarde,Multípara,Normal,487.7,38.2,290.0
Nelore,F,Manhã,Primípara,Normal,510.3,27.1,251.1
Nelore,M,Tarde,Multípara,Normal,421.0,33.2,279.0
Nelore,F,Manhã,Primípara,Normal,536.0,35.6,280.1
Nelore,M,Manhã,Multípara,Normal,409.8,30.2,273.1
Nelore,M,Noite,Primípara,Normal,493.3,30.9,314.9
Nelore,M,Manhã,Multípara,Normal,421.1,29.2,254.5
Nelore,M,Tarde,Primípara,Normal,415.2,30.7,283.4
Nelore,F,Noite,Multípara,Normal,420.2,27.7,253.9
Nelore,F,Tarde,Multípara,Normal,447.9,33.1,263.4
Nelore,M,Manhã,Primípara,Normal,473.2,30.9,273.0
Nelore,M,Manhã,Multípara,Normal,476.8,29.2,297.0
Nelore,F,Manhã,Primípara,Normal,412.2,31.0,220.6
Nelore,M,Tarde,Multípara,Normal,410.4,32.5,267.2
Nelore,M,Tarde,Multípara,Normal,413.3,34.9,295.7
Nelore,M,Manhã,Multípara,Normal,445.5,28.6,266.3
Nelore,F,Noite,Multípara,Normal,441.6,31.1,270.7
Nelore,F,Tarde,Primípara,Normal,412.0,30.8,228.2
Nelore,F,Manhã,Multípara,Distocia,460.8,28.7,225.1
Nelore,M,Tarde,Primípara,Normal,540.5,26.7,274.0
Nelore,M,Tarde,Multípara,Normal,429.8,31.9,281.7
Nelore,F,Manhã,Multípara,Normal,432.7,33.7,253.9
Nelore,F,Manhã,Multípara,Normal,472.4,33.4,255.9
Nelore,F,Noite,Primípara,Normal,427.6,27.2,256.7
Nelore,F,Tarde,Multípara,Normal,476.8,26.2,262.6
Nelore,M,Tarde,Multípara,Normal,421.3,30.7,267.5
Nelore,F,Tarde,Primípara,Normal,523.3,27.1,233.2
Nelore,M,Manhã,Multípara,Normal,463.8,33.3,259.5
Nelore,F,Manhã,Multípara,Distocia,425.2,29.7,238.4
Nelore,M,Tarde,Multípara,Normal,426.5,29.7,278.7
Nelore,F,Manhã,Multípara,Normal,429.4,33.3,256.0
Nelore,F,Manhã,Multípara,Normal,504.9,30.4,258.4
Nelore,F,Noite,Primípara,Normal,399.2,29.8,232.2
Nelore,F,Noite,Multípara,Normal,423.3,24.8,240.9
Nelore,M,Tarde,Primípara,Normal,427.5,23.2,274.8
Nelore,F,Noite,Multípara,Normal,449.4,25.7,212.5
Nelore,M,Manhã,Multípara,Normal,439.2,30.6,273.8
Nelore,M,Noite,Multípara,Normal,390.4,33.7,263.7
Nelore,M,Manhã,Multípara,Distocia,434.0,25.0,232.1
Nelore,M,Noite,Primípara,Normal,446.0,35.3,274.0
Nelore,F,Noite,Multípara,Normal,424.9,30.5,252.1
Nelore,M,Tarde,Multípara,Normal,477.5,36.1,299.2
Nelore,M,Noite,Primípara,Normal,486.8,27.8,292.6
Nelore,M,Tarde,Multípara,Normal,446.9,33.5,283.4
Nelore,F,Manhã,Multípara,Distocia,459.2,30.3,220.9
Nelore,F,Tarde,Multípara,Normal,363.6,32.5,240.3
Nelore,F,Tarde,Primípara,Distocia,433.2,27.8,215.3
Nelore,F,Manhã,Multípara,Normal,490.2,31.4,245.1
Nelore,M,Tarde,Primípara,Normal,433.1,33.8,288.9
Nelore,M,Noite,Primípara,Normal,420.5,28.5,269.3
Nelore,F,Manhã,Primípara,Normal,541.1,29.2,268.8
Nelore,M,Tarde,Primípara,Normal,522.8,24.8,268.7
Nelore,M,Noite,Primípara,Normal,468.7,32.6,293.8
Nelore,M,Noite,Multípara,Normal,495.6,37.9,296.5
Nelore,F,Noite,Multípara,Normal,361.0,26.3,240.7
Nelore,F,Tarde,Primípara,Normal,418.5,28.2,245.0
Nelore,M,Noite,Primípara,Normal,431.2,33.1,277.5
Nelore,F,Tarde,Multípara,Normal,440.6,30.1,251.4
Nelore,F,Manhã,Multípara,Normal,430.4,30.5,248.1
Nelore,F,Tarde,Primípara,Normal,348.0,27.3,247.2
Nelore,F,Tarde,Primípara,Normal,465.4,27.2,248.3
Nelore,F,Manhã,Primípara,Normal,471.7,28.2,248.8
Nelore,M,Tarde,Primípara,Normal,514.1,30.6,283.3
Nelore,F,Tarde,Primípara,Normal,418.5,25.0,242.8
Nelore,M,Manhã,Multípara,Normal,415.2,31.8,282.8
Nelore,M,Tarde,Primípara,Normal,342.8,35.2,268.6
Nelore,F,Tarde,Multípara,Normal,438.3,28.7,231.2
Nelore,M,Tarde,Primípara,Normal,486.0,26.8,261.6
Nelore,M,Manhã,Multípara,Distocia,425.5,31.5,263.0
Nelore,M,Manhã,Multípara,Normal,535.7,29.9,303.7
Nelore,F,Manhã,Multípara,Normal,439.7,26.0,235.4
Nelore,F,Noite,Multípara,Normal,455.9,30.4,244.8
Nelore,M,Manhã,Multípara,Normal,395.5,29.9,245.4
Nelore,F,Tarde,Multípara,Normal,461.5,28.1,265.2
Nelore,F,Manhã,Multípara,Normal,370.8,30.5,246.1
Nelore,F,Manhã,Multípara,Distocia,477.7,25.4,242.2
Nelore,F,Noite,Multípara,Normal,479.0,24.8,252.8
Nelore,M,Tarde,Multípara,Normal,504.4,34.0,291.2
Nelore,M,Manhã,Multípara,Normal,409.2,26.2,260.4
Nelore,F,Tarde,Multípara,Normal,456.4,27.1,261.5
Nelore,F,Manhã,Primípara,Normal,472.6,23.1,238.3
Nelore,M,Tarde,Primípara,Normal,467.7,29.0,282.3
Nelore,M,Tarde,Multípara,Normal,415.4,33.3,288.5
Nelore,F,Manhã,Primípara,Normal,354.3,28.8,240.5
Nelore,M,Manhã,Multípara,Normal,463.9,39.2,298.5
Nelore,F,Manhã,Primípara,Normal,443.9,31.8,253.1
Nelore,F,Noite,Multípara,Normal,427.3,27.2,248.9
Nelore,M,Noite,Multípara,Distocia,480.6,28.4,274.9
Nelore,M,Manhã,Multípara,Normal,448.2,40.1,314.0
Nelore,F,Tarde,Multípara,Normal,397.2,33.2,256.7
Nelore,F,Manhã,Multípara,Normal,372.7,31.8,250.0
Nelore,M,Manhã,Multípara,Normal,404.8,32.2,268.4
Nelore,F,Tarde,Multípara,Normal,545.7,30.8,259.4
Nelore,M,Noite,Primípara,Normal,478.9,26.1,278.8
Nelore,F,Noite,Multípara,Normal,457.5,30.5,245.4
Nelore,M,Tarde,Multípara,Normal,442.7,32.2,279.2
Nelore,M,Manhã,Multípara,Normal,440.1,29.3,288.3
Nelore,M,Tarde,Multípara,Distocia,496.7,30.4,287.6
Nelore,F,Manhã,Multípara,Normal,430.4,34.5,262.0
Nelore,F,Tarde,Primípara,Normal,473.1,28.1,245.2
Nelore,M,Manhã,Primípara,Normal,436.1,36.7,288.2
Nelore,F,Tarde,Multípara,Normal,527.6,24.8,259.0
Nelore,M,Manhã,Multípara,Normal,479.7,30.4,280.1
Nelore,M,Manhã,Multípara,Normal,499.8,27.4,269.2
Nelore,F,Noite,Primípara,Normal,426.6,24.9,248.3
Nelore,F,Manhã,Multípara,Normal,492.3,27.5,252.3
Nelore,M,Tarde,Multípara,Normal,437.5,32.9,273.6
Nelore,F,Manhã,Multípara,Normal,454.4,30.8,258.4
Nelore,F,Manhã,Primípara,Normal,515.4,26.5,262.6
Nelore,M,Manhã,Primípara,Normal,408.3,23.8,241.2
Nelore,M,Manhã,Primípara,Normal,458.1,34.9,286.1
Nelore,F,Noite,Primípara,Normal,467.5,27.6,243.8
Nelore,M,Manhã,Primípara,Distocia,470.8,27.2,266.4
Nelore,M,Noite,Primípara,Normal,432.0,31.3,283.2
Nelore,F,Tarde,Multípara,Normal,533.5,30.6,257.4
Nelore,M,Tarde,Multípara,Normal,398.2,31.0,251.9
Nelore,M,Tarde,Multípara,Normal,508.4,32.4,302.2
Nelore,F,Tarde,Primípara,Normal,498.6,25.0,231.4
Nelore,F,Tarde,Multípara,Normal,526.0,32.3,270.4
Nelore,M,Manhã,Multípara,Normal,386.5,29.0,261.4
Nelore,M,Manhã,Primípara,Normal,415.2,28.7,268.4
Nelore,F,Noite,Multípara,Normal,509.7,31.9,283.6
Nelore,F,Noite,Primípara,Normal,374.9,32.1,280.5
Nelore,F,Noite,Multípara,Normal,385.7,34.8,232.7
Nelore,F,Tarde,Multípara,Normal,430.5,33.2,266.8
Nelore,M,Tarde,Multípara,Distocia,457.7,31.0,266.8
Nelore,F,Tarde,Multípara,Normal,513.7,25.4,260.6
Nelore,F,Tarde,Multípara,Normal,442.6,34.2,270.9
Nelore,M,Manhã,Multípara,Normal,425.7,36.1,303.5
Nelore,F,Tarde,Multípara,Normal,462.5,28.0,250.2
Nelore,M,Manhã,Primípara,Normal,468.8,33.3,275.3
Nelore,F,Manhã,Primípara,Normal,467.6,27.5,257.5
Nelore,F,Noite,Multípara,Normal,442.9,34.5,261.6
Nelore,F,Manhã,Multípara,Normal,371.8,28.5,231.6
Nelore,M,Manhã,Multípara,Normal,413.3,37.9,283.6
Nelore,M,Manhã,Primípara,Normal,506.8,32.9,302.7
Nelore,F,Noite,Multípara,Normal,457.5,35.4,283.8
Nelore,M,Tarde,Primípara,Normal,437.1,29.1,256.5
Nelore,M,Tarde,Multípara,Normal,494.7,33.2,297.2
Nelore,M,Noite,Multípara,Distocia,404.8,29.1,251.5
Nelore,M,Noite,Multípara,Normal,441.0,34.5,267.4
Nelore,M,Manhã,Primípara,Normal,455.5,33.2,285.6
Nelore,M,Tarde,Multípara,Normal,432.3,39.2,285.3
Nelore,F,Tarde,Multípara,Normal,454.0,31.4,235.3
Nelore,F,Tarde,Multípara,Distocia,442.5,32.2,234.9
Nelore,M,Manhã,Multípara,Normal,394.0,30.6,255.7
Nelore,F,Noite,Multípara,Normal,457.3,31.6,247.4
Nelore,F,Tarde,Multípara,Normal,396.9,28.9,223.3
Nelore,F,Manhã,Multípara,Normal,456.6,30.3,247.1
Nelore,F,Tarde,Primípara,Normal,505.0,29.0,247.2
Nelore,M,Manhã,Multípara,Normal,438.8,30.9,280.2
Nelore,F,Manhã,Multípara,Normal,403.1,30.2,250.6
Nelore,F,Tarde,Primípara,Normal,444.9,27.4,245.8
Nelore,M,Manhã,Primípara,Normal,416.7,29.4,265.6
Nelore,M,Tarde,Multípara,Normal,473.8,35.2,288.5
Nelore,F,Tarde,Primípara,Normal,444.1,29.0,236.6
Nelore,F,Manhã,Multípara,Normal,518.4,31.0,253.1
Nelore,F,Noite,Primípara,Normal,496.5,24.1,250.7
Nelore,F,Manhã,Multípara,Normal,443.9,31.3,231.1
Nelore,F,Manhã,Multípara,Normal,478.6,31.6,257.3
Nelore,F,Manhã,Multípara,Normal,434.3,28.8,240.8
Nelore,M,Manhã,Multípara,Normal,451.4,38.3,303.0
Nelore,F,Manhã,Multípara,Distocia,435.5,23.1,203.6
Nelore,F,Tarde,Multípara,Distocia,480.7,32.4,250.6
Nelore,M,Noite,Primípara,Normal,507.3,32.6,294.3
Nelore,M,Manhã,Primípara,Normal,481.9,32.1,262.2
Nelore,M,Tarde,Primípara,Normal,486.9,31.0,270.2
Nelore,M,Tarde,Multípara,Normal,486.9,33.7,288.6
Nelore,F,Noite,Primípara,Normal,472.1,31.1,262.2
Nelore,F,Tarde,Primípara,Normal,404.4,26.3,236.2
Nelore,F,Manhã,Multípara,Normal,518.0,30.9,269.2
Nelore,F,Manhã,Multípara,Normal,522.2,29.5,246.5
Nelore,F,Tarde,Multípara,Normal,440.6,26.7,221.3
